Indicator,Name,score
AV,LOCAL,0.395
AV,ADJACENT_NETWORK,0.646
AV,NETWORK,1
AC,HIGH,0.35
AC,MEDIUM,0.61
AC,LOW,0.71
Au,MULTIPLE,0.45
Au,SINGLE,0.56
Au,NONE,0.704
PR,HIGH_UNCHANGE,0.27
PR,HIGH_CHANGE,0.5
PR,LOW_UNCHANGED,0.62
PR,LOW_CHANGED,0.68
PR,NONE,0.85
PR,HIGH,0.5
PR,HIGH_NETWORK,0.27
PR,LOW_NETWORK,0.62
PR,LOW,0.68
UI,REQUIRED,0.62
UI,NONE,0.85
C,NONE,0
C,LOW,0.22
C,HIGH,0.56
I,NONE,0
I,LOW,0.22
I,HIGH,0.56
A,NONE,0
A,LOW,0.22
A,HIGH,0.56
Devvalue,LOW,1
Devvalue,MEDIUM,2
Devvalue,HIGH,3
Devvalue,VERY_HIGH,4
Devvalue,CRITICAL,5
